,interpolate_loss,interpolate_teacher_forcing_acc,interpolate_perplexity,train_loss,epoch,_timestamp,extrapolate_loss,trainer/global_step,extrapolate_perplexity,_runtime,_step,train_teacher_forcing_acc,extrapolate_teacher_forcing_acc,symbol_retrieval,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,encoder_kwargs,decoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval_kwargs,name
59,,,,0.26430490612983704,49,1723883528.261394,,195299,,16534.460978984833,59,0.8936277031898499,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
60,,,,0.26129579544067383,50,1723883846.9717197,,199205,,16853.17130470276,60,0.894656240940094,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
61,,,,0.2575998604297638,51,1723884165.8258076,,203111,,17172.02539253235,61,0.8960742950439453,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
62,,,,0.2559512257575989,52,1723884484.7185483,,207017,,17490.91813325882,62,0.8967832326889038,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
63,,,,0.25266918540000916,53,1723884803.446594,,210923,,17809.6461789608,63,0.89809650182724,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
64,0.806853175163269,0.7267990708351135,2.242032766342163,,54,1723885181.527229,0.806853175163269,214829,2.242032766342163,18187.7268140316,64,,0.7267990708351135,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
65,,,,0.25196370482444763,54,1723885181.5289655,,214829,,18187.728550434113,65,0.8991554379463196,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
66,,,,0.24047330021858215,55,1723885500.2965584,,218735,,18506.496143341064,66,0.9034078121185303,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
67,,,,0.23733222484588623,56,1723885819.0898216,,222641,,18825.28940653801,67,0.9045134782791138,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
68,,,,0.235677108168602,57,1723886137.8645701,,226547,,19144.064155101776,68,0.9055735468864441,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
