,trainer/global_step,extrapolate_teacher_forcing_acc,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,train_teacher_forcing_acc,_step,epoch,train_loss,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
34,117179.0,0.9999944567680359,9817.929093122482,2.254117680422496e-05,1.000016689300537,1.000016689300537,1723901026.903021,2.254117680422496e-05,0.9999944567680359,,34.0,29.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
35,117179.0,,9817.930911779404,,,,1723901026.9048398,,,0.9995119571685791,35.0,29.0,0.0019277093233540654,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
36,121085.0,,10132.185787677765,,,,1723901341.1597157,,,0.9995311498641968,36.0,30.0,0.0018676096806302667,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
37,124991.0,,10446.570009231567,,,,1723901655.5439372,,,0.9995445609092712,37.0,31.0,0.0018266024999320507,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
38,128897.0,,10760.84423661232,,,,1723901969.8181646,,,0.9995580911636353,38.0,32.0,0.0017889301525428891,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
39,132803.0,,11075.16126203537,,,,1723902284.13519,,,0.999569296836853,39.0,33.0,0.0017465697601437569,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
40,136709.0,0.9999828338623047,11448.497741937637,6.377546378644183e-05,1.0000574588775635,1.0000574588775635,1723902657.47167,6.377546378644183e-05,0.9999828338623047,,40.0,34.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
41,136709.0,,11448.499550819397,,,,1723902657.4734788,,,0.9995812177658081,41.0,34.0,0.001702086185105145,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
42,140615.0,,11763.51899266243,,,,1723902972.4929206,,,0.9996020793914795,42.0,35.0,0.001603904296644032,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
43,144521.0,,12078.527092933655,,,,1723903287.501021,,,0.9996127486228943,43.0,36.0,0.0015523334732279181,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
44,148427.0,,12393.493389368057,,,,1723903602.4673173,,,0.999624490737915,44.0,37.0,0.0015301172388717532,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
45,152333.0,,12708.425186634064,,,,1723903917.3991146,,,0.9996253848075867,45.0,38.0,0.001540275989100337,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
46,156239.0,0.9999947547912598,13082.338261604309,2.3073733245837502e-05,1.000017523765564,1.000017523765564,1723904291.3121896,2.3073733245837502e-05,0.9999947547912598,,46.0,39.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
47,156239.0,,13082.340057849884,,,,1723904291.3139858,,,0.9996395111083984,47.0,39.0,0.001449674367904663,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
48,160145.0,,13397.203983783722,,,,1723904606.1779118,,,0.9996508955955505,48.0,40.0,0.0014135354431346059,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
