group,name,_wandb.runtime,interpolate_perplexity,epoch,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,_step,train_teacher_forcing_acc,extrapolate_loss,extrapolate_perplexity,trainer/global_step,_timestamp,interpolate_loss,train_loss,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,encoder_kwargs,decoder_kwargs,task,_wandb
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=3; dl=3,hardy-sunset-24,19625.0,11.330288887023926,99.0,0.49003466963768005,0.49003466963768005,119.0,0.8397089242935181,2.4240989685058594,11.330288887023926,390599.0,1723703092.010036,2.4240989685058594,0.4034211337566376,19625.977704048157,144,3,3,,"{'activation': 'relu', 'dropout_rate': 0.1, 'causal': False, 'dff': 288, 'norm_first': False, 'n_heads': 8}","{'dff': 288, 'n_heads_cross': 8, 'activation': 'relu', 'causal': True, 'n_heads': 8, 'norm_first': False, 'dropout_rate': 0.1}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=3; dl=3,usual-grass-23,19563.0,4.919910907745361,99.0,0.564242959022522,0.564242959022522,119.0,0.8927649259567261,1.591966152191162,4.919910907745361,390599.0,1723703029.3948815,1.591966152191162,0.26768428087234497,19563.78422760963,144,3,3,,"{'n_heads': 8, 'dff': 288, 'norm_first': False, 'causal': False, 'activation': 'relu', 'dropout_rate': 0.1}","{'n_heads': 8, 'dropout_rate': 0.1, 'n_heads_cross': 8, 'causal': True, 'norm_first': False, 'activation': 'relu', 'dff': 288}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,worthy-totem-22,25827.0,6.419102191925049,99.0,0.5085639953613281,0.5085639953613281,119.0,0.8778910636901855,1.8579471111297607,6.419102191925049,390599.0,1722871894.6207802,1.8579471111297607,0.30303898453712463,25827.115104198456,144,4,4,,"{'n_heads': 8, 'causal': False, 'norm_first': False, 'dropout_rate': 0.1, 'activation': 'relu', 'dff': 288}","{'norm_first': False, 'dropout_rate': 0.1, 'n_heads_cross': 8, 'activation': 'relu', 'causal': True, 'dff': 288, 'n_heads': 8}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,true-flower-21,85229.0,6.945364952087402,99.0,0.5373435020446777,0.5373435020446777,119.0,0.939657747745514,1.9360089302062988,6.945364952087402,390599.0,1722925139.6946452,1.9360089302062988,0.1511339247226715,85230.02615523338,144,4,4,,"{'activation': 'relu', 'dff': 288, 'n_heads': 8, 'dropout_rate': 0.1, 'causal': False, 'norm_first': False}","{'n_heads': 8, 'activation': 'relu', 'n_heads_cross': 8, 'dff': 288, 'norm_first': False, 'causal': True, 'dropout_rate': 0.1}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,fresh-water-18,33135.0,3.8421125411987305,99.0,0.7406978607177734,0.7406978607177734,119.0,0.9264358282089232,1.3432193994522097,3.8421125411987305,390599.0,1722846141.199321,1.3432193994522097,0.17804144322872162,33135.64771413803,128,4,4,position_relative,"{'n_heads_ra': 4, 'n_heads_sa': 4, 'causal': False, 'activation': 'relu', 'ra_type': 'relational_attention', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'dropout_rate': 0.1, 'norm_first': False, 'dff': 256}","{'ra_type': 'relational_attention', 'activation': 'relu', 'n_heads_sa': 8, 'dropout_rate': 0.1, 'norm_first': False, 'dff': 256, 'n_heads_cross': 8, 'causal': True, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_ra': 0}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=4; dl=4,driven-jazz-17,35000.0,5.093191623687744,99.0,0.7144040465354919,0.7144040465354919,119.0,0.948002815246582,1.6258413791656494,5.093191623687744,390599.0,1722814963.3252847,1.6258413791656494,0.13089749217033386,35000.359016656876,128,4,4,position_relative,"{'ra_type': 'relational_attention', 'activation': 'relu', 'dropout_rate': 0.1, 'causal': False, 'n_heads_sa': 4, 'norm_first': False, 'n_heads_ra': 4, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}}","{'n_heads_sa': 4, 'dropout_rate': 0.1, 'ra_type': 'relational_attention', 'n_heads_cross': 8, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_ra': 4, 'norm_first': False, 'causal': True, 'activation': 'relu'}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,toasty-wave-16,32969.0,2.2764978408813477,99.0,0.7530665993690491,0.7530665993690491,119.0,0.9337677359580994,0.8221315741539001,2.2764978408813477,390599.0,1722811414.35867,0.8221315741539001,0.16036781668663025,32969.497807979584,128,4,4,position_relative,"{'n_heads_sa': 4, 'dff': 256, 'n_heads_ra': 4, 'norm_first': False, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'dropout_rate': 0.1, 'activation': 'relu', 'ra_type': 'relational_attention', 'causal': False}","{'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'n_heads_cross': 8, 'norm_first': False, 'ra_type': 'relational_attention', 'n_heads_ra': 0, 'causal': True, 'n_heads_sa': 8, 'dropout_rate': 0.1, 'dff': 256}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=4; dl=4,mild-aardvark-15,,8.195306777954102,85.0,0.6702656149864197,0.6702656149864197,102.0,0.9415977597236632,2.100644826889038,8.195306777954102,335915.0,1722845446.9380696,2.100644826889038,0.14525684714317322,86331.58575367928,128,4,4,position_relative,"{'n_heads_sa': 4, 'causal': False, 'norm_first': False, 'dff': 256, 'ra_type': 'relational_attention', 'n_heads_ra': 4, 'dropout_rate': 0.1, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu'}","{'dropout_rate': 0.1, 'n_heads_cross': 8, 'norm_first': False, 'causal': True, 'ra_type': 'relational_attention', 'n_heads_ra': 4, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_sa': 4, 'activation': 'relu'}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=3; dl=3,jumping-sea-14,24825.0,1.7734967470169067,99.0,0.7943841814994812,0.7943841814994812,119.0,0.9023432731628418,0.5726062655448914,1.7734967470169067,390599.0,1722778326.272785,0.5726062655448914,0.2435651421546936,24825.423229932785,128,3,3,position_relative,"{'causal': False, 'dropout_rate': 0.1, 'ra_type': 'relational_attention', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'n_heads_sa': 4, 'dff': 256, 'n_heads_ra': 4, 'norm_first': False}","{'n_heads_cross': 8, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'ra_type': 'relational_attention', 'norm_first': False, 'dff': 256, 'n_heads_sa': 8, 'n_heads_ra': 0, 'dropout_rate': 0.1, 'causal': True}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=3; dl=3,glamorous-spaceship-13,75566.0,1.522328495979309,99.0,0.8384872674942017,0.8384872674942017,119.0,0.9254999160766602,0.42001357674598694,1.522328495979309,390599.0,1722829065.550542,0.42001357674598694,0.1826687753200531,75566.42837619781,128,3,3,position_relative,"{'n_heads_sa': 4, 'dropout_rate': 0.1, 'norm_first': False, 'n_heads_ra': 4, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'dff': 256, 'causal': False, 'ra_type': 'relational_attention'}","{'dropout_rate': 0.1, 'activation': 'relu', 'n_heads_sa': 4, 'dff': 256, 'n_heads_cross': 8, 'causal': True, 'norm_first': False, 'n_heads_ra': 4, 'ra_type': 'relational_attention', 'ra_kwargs': {'use_relative_positional_symbols': True}}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=3; dl=3,misunderstood-aardvark-12,70105.0,2.240703821182251,99.0,0.7384194135665894,0.7384194135665894,119.0,0.8959871530532837,0.8062289357185364,2.240703821182251,390599.0,1722823604.5251548,0.8062289357185364,0.2610311806201935,70105.49304294586,128,3,3,position_relative,"{'norm_first': False, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'dropout_rate': 0.1, 'activation': 'relu', 'n_heads_sa': 4, 'n_heads_ra': 4, 'causal': False, 'ra_type': 'relational_attention'}","{'activation': 'relu', 'ra_type': 'relational_attention', 'n_heads_cross': 8, 'causal': True, 'dropout_rate': 0.1, 'dff': 256, 'n_heads_sa': 8, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'norm_first': False, 'n_heads_ra': 0}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=3; dl=3,lunar-eon-11,26408.0,2.343822479248047,99.0,0.6673521399497986,0.6673521399497986,119.0,0.7346631288528442,0.8515781760215759,2.343822479248047,390599.0,1722779907.2707672,0.8515781760215759,0.5957574248313904,26408.514313220978,128,3,3,position_relative,"{'activation': 'relu', 'ra_type': 'relational_attention', 'n_heads_ra': 4, 'dropout_rate': 0.1, 'causal': False, 'n_heads_sa': 4, 'dff': 256, 'norm_first': False, 'ra_kwargs': {'use_relative_positional_symbols': True}}","{'dropout_rate': 0.1, 'dff': 256, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'norm_first': False, 'ra_type': 'relational_attention', 'n_heads_ra': 4, 'causal': True, 'activation': 'relu', 'n_heads_sa': 4, 'n_heads_cross': 8}",algebra__linear_1,
"Abstractor - L=2, d=128, h=8",sparkling-tree-10,13348.0,2.577481746673584,99.0,0.686072587966919,0.686072587966919,119.0,0.8851476311683655,0.10507470369338988,2.577481746673584,390599.0,1722629095.98443,0.10507470369338988,0.0288311205804348,13348.208659172058,128,2,2,,"{'causal': False, 'activation': 'relu', 'dropout_rate': 0.1, 'dff': 256, 'n_heads': 8, 'norm_first': False}","{'causal': True, 'n_heads': 8, 'activation': 'relu', 'norm_first': False, 'n_heads_cross': 8, 'dropout_rate': 0.1, 'dff': 256}",algebra__linear_1,
"Abstractor - L=1, d=128, h=8",noble-sun-9,11383.0,2.5995702743530273,99.0,0.6468397378921509,0.6468397378921509,119.0,0.7791173458099365,0.1060471087694168,2.5995702743530273,390599.0,1722622311.9078271,0.1060471087694168,0.05530598387122154,11383.59648323059,128,1,1,,"{'n_heads': 8, 'dff': 256, 'causal': False, 'dropout_rate': 0.1, 'norm_first': False, 'activation': 'relu'}","{'causal': True, 'n_heads': 8, 'activation': 'relu', 'dff': 256, 'norm_first': False, 'dropout_rate': 0.1, 'n_heads_cross': 8}",algebra__linear_1,
"Abstractor - L=2, d=128, h=8",faithful-lion-8,35354.0,2.5623207092285156,99.0,0.6740585565567017,0.6740585565567017,119.0,0.8442149758338928,0.10442685335874556,2.5623207092285156,390599.0,1722643529.8069584,0.10442685335874556,0.0392611064016819,35354.58753347397,128,2,2,,"{'dropout_rate': 0.1, 'dff': 256, 'causal': False, 'n_heads': 8, 'activation': 'relu', 'norm_first': False}","{'n_heads_cross': 8, 'causal': True, 'dropout_rate': 0.1, 'dff': 256, 'n_heads': 8, 'activation': 'relu', 'norm_first': False}",algebra__linear_1,
