,train_teacher_forcing_acc,train_loss,interpolate_loss,trainer/global_step,interpolate_perplexity,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_teacher_forcing_acc,epoch,extrapolate_teacher_forcing_acc,_timestamp,_step,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
28,,,0.24940811097621918,97649,1.283310890197754,8246.078659057617,0.24940811097621918,1.283310890197754,0.8754132986068726,24,0.8754132986068726,1723877019.336836,28,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
29,0.8802268505096436,0.2278929501771927,,97649,,8246.080436229706,,,,24,,1723877019.3386133,29,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
30,0.8806450963020325,0.22660107910633087,,101555,,8563.867804765701,,,,25,,1723877337.1259818,30,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
31,0.8810227513313293,0.22528673708438873,,105461,,8881.769251823425,,,,26,,1723877655.0274289,31,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
32,0.8813058137893677,0.2242136150598526,,109367,,9199.601237535477,,,,27,,1723877972.8594146,32,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
33,0.8816632032394409,0.22309856116771698,,113273,,9517.474746465683,,,,28,,1723878290.7329235,33,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
34,,,0.24472570419311523,117179,1.2773160934448242,9894.455477952957,0.24472570419311523,1.2773160934448242,0.8772733807563782,29,0.8772733807563782,1723878667.713655,34,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
35,0.8819374442100525,0.22209972143173218,,117179,,9894.457268714905,,,,29,,1723878667.7154458,35,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
36,0.8821994662284851,0.22110870480537415,,121085,,10212.177264213562,,,,30,,1723878985.4354413,36,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
37,0.8824748992919922,0.22035573422908783,,124991,,10530.123291492462,,,,31,,1723879303.3814685,37,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
38,0.8827271461486816,0.21953418850898743,,128897,,10848.066776037216,,,,32,,1723879621.324953,38,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
39,0.8829182386398315,0.21867495775222778,,132803,,11165.941857337952,,,,33,,1723879939.2000344,39,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
