,train_teacher_forcing_acc,trainer/global_step,epoch,extrapolate_teacher_forcing_acc,train_loss,extrapolate_loss,_step,_runtime,interpolate_teacher_forcing_acc,extrapolate_perplexity,interpolate_perplexity,_timestamp,interpolate_loss,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
49,0.9730061888694763,164051,41,,0.07300689816474915,,49,49188.83359789848,,,,1723947226.9307048,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
50,0.973274290561676,167957,42,,0.07224646210670471,,50,50324.09046769142,,,,1723948362.1875746,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
51,0.9735069274902344,171863,43,,0.07174902409315109,,51,51459.01392507553,,,,1723949497.111032,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
52,,175769,44,0.9781010150909424,,0.06254411488771439,52,52780.15582752228,0.9781010150909424,1.0645718574523926,1.0645718574523926,1723950818.2529345,0.06254411488771439,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
53,0.9738256335258484,175769,44,,0.07079634070396423,,53,52780.158177137375,,,,1723950818.255284,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
54,0.9742244482040405,179675,45,,0.06971873342990875,,54,53916.12531256676,,,,1723951954.2224195,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
55,0.9744952321052551,183581,46,,0.06918247044086456,,55,55050.85437512398,,,,1723953088.951482,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
56,0.9747537970542908,187487,47,,0.06835243105888367,,56,56185.24191427231,,,,1723954223.3390212,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
57,0.9750238656997681,191393,48,,0.06767609715461731,,57,57319.69447469711,,,,1723955357.7915816,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
58,,195299,49,0.9807645678520203,,0.05412672832608223,58,58641.28280329704,0.9807645678520203,1.0556440353393555,1.0556440353393555,1723956679.3799102,0.05412672832608223,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
59,0.9754346013069153,195299,49,,0.06679736822843552,,59,58641.28514456749,,,,1723956679.3822515,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
60,0.9756128787994385,199205,50,,0.06630066782236099,,60,59776.04862737656,,,,1723957814.1457343,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
61,0.9760597944259644,203111,51,,0.06525516510009766,,61,60910.651237249374,,,,1723958948.7483442,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
62,0.9762226939201355,207017,52,,0.06484386324882507,,62,62045.31235051155,,,,1723960083.4094574,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
63,0.9765709042549133,210923,53,,0.06399716436862946,,63,63179.95938181877,,,,1723961218.0564888,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
64,,214829,54,0.9823545813560486,,0.04947102069854736,64,64501.25177645683,0.9823545813560486,1.0507359504699707,1.0507359504699707,1723962539.3488834,0.04947102069854736,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
65,0.9768742918968201,214829,54,,0.06317126005887985,,65,64501.254133701324,,,,1723962539.3512406,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
66,0.9770886301994324,218735,55,,0.0626557245850563,,66,65636.26625943184,,,,1723963674.3633664,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
67,0.9772585034370422,222641,56,,0.06209928169846535,,67,66770.73582029343,,,,1723964808.8329272,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
68,0.9776003956794739,226547,57,,0.06127333268523216,,68,67905.45339560509,,,,1723965943.5505025,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
69,0.9777912497520447,230453,58,,0.060785241425037384,,69,69040.43911290169,,,,1723967078.5362198,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
70,,234359,59,0.9829412698745728,,0.04868966341018677,70,70361.53415369987,0.9829412698745728,1.0499186515808105,1.0499186515808105,1723968399.6312606,0.04868966341018677,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
71,0.9780192375183105,234359,59,,0.06025572493672371,,71,70361.53645205498,,,,1723968399.633559,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
72,0.9782389402389526,238265,60,,0.05978836491703987,,72,71496.03191876411,,,,1723969534.1290257,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
73,0.9784106016159058,242171,61,,0.059169698506593704,,73,72630.82082009315,,,,1723970668.917927,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
74,0.9785904884338379,246077,62,,0.058888886123895645,,74,73766.45160341263,,,,1723971804.5487103,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
75,0.9787822961807251,249983,63,,0.05843881517648697,,75,74901.41275119781,,,,1723972939.5098581,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
76,,253889,64,0.9832045435905457,,0.049910034984350204,76,76223.05174708366,0.9832045435905457,1.0512033700942993,1.0512033700942993,1723974261.148854,0.049910034984350204,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
77,0.9790425896644592,253889,64,,0.057637281715869904,,77,76223.05406594276,,,,1723974261.1511729,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
78,0.9791151881217957,257795,65,,0.05747920274734497,,78,77358.09505867958,,,,1723975396.1921656,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
79,0.9792510867118835,261701,66,,0.05706671252846718,,79,78493.15670228004,,,,1723976531.2538092,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
80,0.9794823527336121,265607,67,,0.056499727070331573,,80,79627.85812211037,,,,1723977665.955229,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
81,0.9797136187553406,269513,68,,0.05600862205028534,,81,80762.58104729652,,,,1723978800.6781542,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
82,,273419,69,0.9841621518135071,,0.050776440650224686,82,82083.75989866257,0.9841621518135071,1.052125334739685,1.052125334739685,1723980121.8570056,0.050776440650224686,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
83,0.9799507260322571,273419,69,,0.05526794493198395,,83,82083.76223731041,,,,1723980121.8593442,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
