,_step,_timestamp,trainer/global_step,interpolate_perplexity,train_loss,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,interpolate_loss,extrapolate_loss,extrapolate_perplexity,train_teacher_forcing_acc,epoch,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
885,78,1715222289.5763493,257795,,0.22187423706054688,,,,,,0.9220187664031982,65,21308.62191414833,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
886,79,1715222599.7107985,261701,,0.22108455002307892,,,,,,0.9223231673240662,66,21618.756363391876,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
887,80,1715222909.7745388,265607,,0.2205004096031189,,,,,,0.9224058985710144,67,21928.820103645325,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
888,81,1715223219.8396244,269513,,0.22001193463802338,,,,,,0.9227829575538635,68,22238.885189294815,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
889,82,1715223594.7225158,273419,1.2781977653503418,,0.9197034239768982,0.9197034239768982,0.24528111517429352,0.24528111517429352,1.2781977653503418,,69,22613.768080711365,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
890,83,1715223594.724768,273419,,0.21952082216739655,,,,,,0.9229122996330261,69,22613.770332813263,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
891,84,1715223904.78091,277325,,0.21867874264717102,,,,,,0.9231746196746826,70,22923.826474905014,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
892,85,1715224214.8866289,281231,,0.21830718219280243,,,,,,0.9233196973800659,71,23233.932193756104,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
893,86,1715224524.7402077,285137,,0.2174593061208725,,,,,,0.9235344529151917,72,23543.785772562027,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
894,87,1715224834.7585022,289043,,0.21700231730937958,,,,,,0.9237602353096008,73,23853.804067134857,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
895,88,1715225209.590927,292949,1.2755717039108276,,0.9193969368934631,0.9193969368934631,0.24322660267353058,0.24322660267353058,1.2755717039108276,,74,24228.636491775513,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
896,89,1715225209.5932195,292949,,0.21622714400291443,,,,,,0.9241136908531189,74,24228.63878440857,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
897,90,1715225519.660206,296855,,0.21552325785160065,,,,,,0.9243190884590149,75,24538.70577096939,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
898,91,1715225829.7226398,300761,,0.21501529216766357,,,,,,0.9245430827140808,76,24848.768204689026,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
899,92,1715226139.7336843,304667,,0.2146025002002716,,,,,,0.9246450662612915,77,25158.779249191284,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
900,93,1715226449.7427845,308573,,0.21395353972911835,,,,,,0.9248865842819214,78,25468.78834939003,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
901,94,1715226824.527796,312479,1.2700895071029663,,0.9210057854652405,0.9210057854652405,0.2389252781867981,0.2389252781867981,1.2700895071029663,,79,25843.573360919952,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
902,95,1715226824.5300488,312479,,0.21368099749088287,,,,,,0.9250136017799377,79,25843.575613737106,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
903,96,1715227134.5065806,316385,,0.21567584574222565,,,,,,0.9243528246879578,80,26153.55214548111,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
904,97,1715227444.4523551,320291,,0.21437664330005646,,,,,,0.9247846603393555,81,26463.497920036316,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
905,98,1715227754.4692822,324197,,0.21382653713226318,,,,,,0.9250264763832092,82,26773.514847040176,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
906,99,1715228064.429782,328103,,0.21320071816444397,,,,,,0.9252004027366638,83,27083.475346803665,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
907,100,1715228439.228167,332009,1.2713770866394043,,0.9208925366401672,0.9208925366401672,0.23993876576423645,0.23993876576423645,1.2713770866394043,,84,27458.273731946945,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
908,101,1715228439.2303429,332009,,0.21277588605880737,,,,,,0.9253252744674683,84,27458.275907754898,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
909,102,1715228749.214275,335915,,0.2123633623123169,,,,,,0.9254935383796692,85,27768.259839773178,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
910,103,1715229059.2615547,339821,,0.2125711888074875,,,,,,0.9254127144813538,86,28078.307119607925,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
911,104,1715229369.2587342,343727,,0.21135711669921875,,,,,,0.9258017539978027,87,28388.304299116135,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
