name,test/acc_hexos,_runtime,test/loss_hexos,_timestamp,test/loss_in_distribution,_wandb,_step,test/acc_stripes,test/loss_stripes,test/acc_in_distribution,sa_kwargs,d_model,image_shape,ra_type,n_layers,task,bias,norm_first,dff,activation,n_heads_sa,num_params,pool,symbol_retrieval_kwargs,patch_size,num_classes,val_size,ra_kwargs,dropout_rate,baseline_model,train_size,model_config,symbol_retrieval,group,n_heads_ra,model_name
occurs__abstractor_train_size=2250__2024_08_05_00_57_40,0.9574499726295472,49.70544672012329,0.17051011323928833,1722833910.0560207,0.13668382167816162,{'runtime': 48},0.0,0.8587499856948853,0.7657071948051453,0.9652000069618224,,,,,,occurs,,,,,,469986,,,,,5000,,,abstractor,2250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,occurs__abstractor,,abstractor
xoccurs__abstractor_train_size=500__2024_08_05_00_57_35,0.5074999928474426,44.36492943763733,4.537285804748535,1722833900.2101524,4.128459453582764,{'runtime': 43},0.0,0.5181000232696533,6.209832191467285,0.5224000215530396,,,,,,xoccurs,,,,,,469986,,,,,5000,,,abstractor,500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,xoccurs__abstractor,,abstractor
xoccurs__corelnet_train_size=2000__2024_08_05_00_57_33,0.8339999914169312,28.97295069694519,1.1915823221206665,1722833882.5893128,0.8350282311439514,{'runtime': 27},0.0,0.8026999831199646,1.5490174293518066,0.8840000033378601,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,2000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
1task_between__predinet_train_size=500__2024_08_05_00_57_28,0.5982000231742859,22.56250786781311,2.7778971195220947,1722833871.135078,2.6203253269195557,{'runtime': 21},0.0,0.5453199744224548,3.865342855453491,0.6168000102043152,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
xoccurs__corelnet_train_size=1750__2024_08_05_00_57_01,0.8521000146865845,28.20276188850403,1.0585898160934448,1722833849.970868,0.6310237050056458,{'runtime': 25},0.0,0.8197500109672546,1.4694610834121704,0.9093999862670898,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,1750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
1task_between__predinet_train_size=250__2024_08_05_00_56_56,0.566860020160675,26.201571941375732,3.412403345108032,1722833843.754113,3.1125807762145996,{'runtime': 26},0.0,0.5289000272750854,3.81559157371521,0.5859000086784363,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
xoccurs__abstractor_train_size=250__2024_08_05_00_56_41,0.5072000026702881,49.372443437576294,6.624521255493164,1722833852.3926704,6.428500175476074,{'runtime': 49},0.0,0.5023000240325928,5.8359880447387695,0.5062000155448914,,,,,,xoccurs,,,,,,469986,,,,,5000,,,abstractor,250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,xoccurs__abstractor,,abstractor
occurs__abstractor_train_size=2000__2024_08_05_00_56_41,0.8573499917984009,53.55778527259827,1.224252700805664,1722833854.9444892,0.6245602965354919,{'runtime': 52},0.0,0.6966000199317932,4.588576316833496,0.9031000137329102,,,,,,occurs,,,,,,469986,,,,,5000,,,abstractor,2000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,occurs__abstractor,,abstractor
xoccurs__corelnet_train_size=1500__2024_08_05_00_56_31,0.7719500064849854,26.717247486114506,1.6641188859939575,1722833817.7616806,0.9462307691574096,{'runtime': 25},0.0,0.7477499842643738,1.1475006341934204,0.8519999980926514,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,1500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
xoccurs__predinet_train_size=2500__2024_08_05_00_56_24,0.6241000294685364,19.726240158081055,1.8586525917053225,1722833803.934996,1.6457841396331787,{'runtime': 18},0.0,0.6490499973297119,1.6702181100845337,0.6531999707221985,,,,,,xoccurs,,,,,,376690,,,,,5000,,,predinet,2500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,xoccurs__predinet,,predinet
