group,name,_runtime,test/loss_hexos,test/acc_in_distribution,_timestamp,test/acc_hexos,_step,_wandb,test/acc_stripes,test/loss_in_distribution,test/loss_stripes,d_model,n_layers,symbol_retrieval,n_heads_rca,n_heads_sa,rca_type,rca_kwargs.symmetric_rels,n_heads,task,train_size,model_name
occurs__sa=2; d=128; L=2,occurs__sa=2; d=128; L=2_train_size=1500__2024_05_09_21_03_07,68.41278100013733,1.554448485374451,0.7350000143051147,1715303055.768137,0.7049999833106995,0.0,{'runtime': 67},0.6437000036239624,1.3288085460662842,1.9767736196517944,128,2,,,,,,2.0,occurs,1500,sa=2; d=128; L=2
1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=250__2024_05_09_21_03_01,82.28455114364624,2.6606500148773193,0.6601999998092651,1715303063.497374,0.6520000100135803,0.0,{'runtime': 81},0.5900599956512451,2.4608805179595947,4.341773986816406,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_between,250,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2250__2024_05_09_21_03_00,101.15867829322816,0.7567344307899475,0.9187999963760376,1715303081.2050323,0.8811500072479248,0.0,{'runtime': 99},0.8127999901771545,0.4758638739585877,1.2174447774887085,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,same,2250,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
1task_between__sa=2; d=128; L=2,1task_between__sa=2; d=128; L=2_train_size=2000__2024_05_09_21_02_46,69.85560727119446,0.7873266339302063,0.8761000037193298,1715303036.8275154,0.8672800064086914,0.0,{'runtime': 68},0.8741999864578247,0.6780332326889038,0.7599026560783386,128,2,,,,,,2.0,1task_between,2000,sa=2; d=128; L=2
same__sa=2; d=128; L=2,same__sa=2; d=128; L=2_train_size=1250__2024_05_09_21_02_31,65.95562720298767,0.5730124711990356,0.9143999814987184,1715303018.5592651,0.9081000089645386,0.0,{'runtime': 65},0.8932499885559082,0.5579439997673035,0.6033973693847656,128,2,,,,,,2.0,same,1250,sa=2; d=128; L=2
xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2250__2024_05_09_21_02_18,95.58591794967651,1.1104094982147217,0.8795999884605408,1715303034.612277,0.8037999868392944,0.0,{'runtime': 94},0.685699999332428,0.6036192178726196,1.9451496601104736,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,xoccurs,2250,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
xoccurs__sa=2; d=128; L=2,xoccurs__sa=2; d=128; L=2_train_size=2250__2024_05_09_21_02_02,73.41960072517395,1.864750623703003,0.618399977684021,1715302997.2638135,0.5806000232696533,0.0,{'runtime': 72},0.582099974155426,1.761728286743164,1.958897829055786,128,2,,,,,,2.0,xoccurs,2250,sa=2; d=128; L=2
occurs__sa=2; d=128; L=2,occurs__sa=2; d=128; L=2_train_size=1250__2024_05_09_21_01_55,67.85192465782166,1.552674412727356,0.7116000056266785,1715302983.1705396,0.6903499960899353,0.0,{'runtime': 66},0.6671000123023987,1.467188596725464,2.478877067565918,128,2,,,,,,2.0,occurs,1250,sa=2; d=128; L=2
occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2250__2024_05_09_21_01_49,88.538565158844,0.8280097842216492,0.9315000176429749,1715302998.00865,0.8868499994277954,0.0,{'runtime': 87},0.7786499857902527,0.43261274695396423,1.6915432214736938,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,occurs,2250,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
1task_match_patt__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_match_patt__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=17500__2024_05_09_21_01_44,138.86691331863403,1.2672747373580933,0.8794999718666077,1715303043.7272103,0.8148999810218811,0.0,{'runtime': 137},0.6474999785423279,0.6125954389572144,3.714005470275879,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_match_patt,17500,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
1task_between__sa=2; d=128; L=2,1task_between__sa=2; d=128; L=2_train_size=1750__2024_05_09_21_01_33,69.92915368080139,0.7453228831291199,0.8682000041007996,1715302963.7362118,0.8595600128173828,0.0,{'runtime': 68},0.8847399950027466,0.729692816734314,0.5847449898719788,128,2,,,,,,2.0,1task_between,1750,sa=2; d=128; L=2
